title,link,published,summary,sub_category,category,author
Shorten: ‘Don’t underestimate Labor’,http://www.dailytelegraph.com.au/news/national/federal-election-2016-bill-shorten-says-not-to-underestimate-or-write-off-labor/story-fnho52jp-1227919694237?from=public_rss,"Sat, 25 Jun 2016 14:00:00 GMT",BILL Shorten believes Labor can still win next Saturday&#8217;s election despite new opinion polling predicting his party will struggle.,No category available,AU_general,No author available
PM preps for campaign launch,http://www.dailytelegraph.com.au/news/national/federal-election-rolling-coverage-of-the-campaign-day-48/story-fnho52jp-1227919325983?from=public_rss,"Sat, 25 Jun 2016 07:30:00 GMT",<b>ROLLING UPDATES:</b><b></b>Malcolm Turnbull heads into tomorrow&#8217;s Liberal Party campaign launch with the economy and stability firmly front and centre.,No category available,AU_general,No author available
Pauline Hanson’s ‘pain in her backside’,http://www.dailytelegraph.com.au/news/national/what-former-senator-rod-culletons-disqualification-means-for-pauline-hanson/story-fni0xqrc-1228068513388?from=public_rss,"Thu, 12 Jan 2017 00:47:00 GMT","PAULINE Hanson has described Rod Culleton as a &#8220;pain in the backside&#8221;, and despite being disqualified from the Senate he&#8217;s continuing to cause her pain.",No category available,AU_general,No author available
Tigerair chaos as Bali flights cancelled,http://www.dailytelegraph.com.au/travel/travel-news/tigerair-chaos-as-bali-flights-cancelled-for-a-second-day/story-fni0bien-1228068508458?from=public_rss,"Wed, 11 Jan 2017 23:52:00 GMT",HUNDREDS of travellers&#8217; holiday plans are in disarray after all Tigerair flights in and out of Bali were cancelled again today and early tomorrow.,No category available,AU_general,No author available
Secret tape not the only talking point,http://www.couriermail.com.au/news/queensland/corridors-of-power-law-and-politics-insiders/story-fntwpug1-1227923004994?from=public_rss,"Wed, 29 Jun 2016 14:00:00 GMT",THE reasons behind a decision to release a secret expletive-laden recording of former Chief Justice Tim Carmody are almost as juicy as the tape is expected to be.,No category available,AU_general,No author available
‘It’s still a prison. I feel like an animal’,http://www.couriermail.com.au/news/national/inside-nauru-you-make-a-nice-prison-its-still-a-prison/story-fnihslxi-1227914537705?from=public_rss,"Mon, 20 Jun 2016 13:12:00 GMT",REACTION to the first TV crew&#8217;s story to emerge from Nauru tonight ranged from stunned to cynical. And it was a surprise to Australia&#8217;s Immigration minister.,No category available,AU_general,No author available
Shock toxic water findings,http://www.couriermail.com.au/news/queensland/oakey-water-contamination-levels-up-over-just-last-three-months/story-fnihsrf2-1227914658418?from=public_rss,"Mon, 20 Jun 2016 21:32:00 GMT","QUEENSLAND&#8217;S water contamination crisis has deepended, following alarming test results which show chemical levels up 425 times the accepted maximum exposure limits.",No category available,AU_general,No author available
Living in fear for my family,http://www.couriermail.com.au/news/opinion/comment-living-in-fear-for-my-family/story-fnihsr9v-1227914614567?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT","COMMENT: I am a father-of-three and a small-business owner in Oakey. Several days ago, <i>The Courier-Mail </i>conducted water tests on the irrigation bore on my property. I was extremely distressed by the results.",No category available,AU_general,No author available
Wild weather: ’It was like a tidal wave’,http://www.couriermail.com.au/news/queensland/wild-weather-hits-southeast-queensland/story-fnihsrf2-1227912379178?from=public_rss,"Mon, 20 Jun 2016 01:34:00 GMT",<b>UPDATE</b>: An emergency situation has been declared after wild storms left a trail of destruction on the Sunshine Coast. Brisbane residents have also described what was &#8220;like a tidal wave&#8221; hitting their homes.,No category available,AU_general,No author available
Mystery still surrounds #faketradie,http://www.couriermail.com.au/news/queensland/quotes-from-liberal-partys-tradie-may-not-be-accurate/story-fnihsrf2-1227914534639?from=public_rss,"Mon, 20 Jun 2016 20:48:00 GMT",AUSTRALIANS have reacted with mirth to a Liberal ad featuring a builder exhibiting several telltale signs that he&#8217;s never been on a worksite in his life.,No category available,AU_general,No author available
Cops access ex-model’s file 1400 times,http://www.couriermail.com.au/news/queensland/glitter-strip-bare-inside-the-gold-coasts-world-of-crime-courts-politics-and-property/story-fnihsrf2-1227914111605?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",A FORMER bikini model has lodged a formal complaint with the Queensland Police Service after officers accessed her personal file more than 1400 times.,No category available,AU_general,No author available
Forecasters defend the bureau’s predictions,http://www.couriermail.com.au/news/queensland/forecasters-defend-the-weather-bureaus-predictions-for-weekend/story-fnihsrf2-1227914561540?from=public_rss,"Mon, 20 Jun 2016 21:49:00 GMT",THE weather bureau said it was not caught off guard by the intensity of the storm that tore through southeast Queensland on Sunday. An emergency situation was in place on the Sunshine Coast after the wild weather hit.,No category available,AU_general,No author available
"Clueless, scared and with huge debt",http://www.couriermail.com.au/news/opinion/cage-fight-state-budget-and-reply-offered-no-solutions-to-queenslands-fiscal-problems/story-fnihsr9v-1227914465344?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT","OPINION: Queensland, we can&#8217;t have it all. The state is stuck with staggering debt and leaders &#8212; on both sides &#8212; refuse to accept an even half-decent strategy to reduce it. Join the Cage Fight from 7am.",No category available,AU_general,No author available
Threat facing Aussie super gains,http://www.couriermail.com.au/lifestyle/superannuation-set-to-celebrate-a-seven-year-stretch-but-can-it-last/story-fnihph6m-1227914319779?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",A VOLATILE year for our superannuation savings looks likely to end in positive territory as long as global markets don&#8217;t crash this week.,No category available,AU_general,No author available
Surfwear company cuts 40 jobs,http://www.couriermail.com.au/business/surfwear-company-surfstitch-cuts-40-jobs-in-bid-to-return-to-profit/story-fnihsps3-1227914648548?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",THE soap opera continues for SurfStitch as the surfwear brand sheds 40 jobs in a bid to return to profit.,No category available,AU_general,No author available
Fruit thieves av it away with brekky,http://www.couriermail.com.au/news/opinion/opinion-fruit-thieves-av-it-away-with-breakfast/story-fnihsr9v-1227914396818?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT","FIRST came the smash, now comes the grab. It&#8217;s the crime wave that will send terror into the heart of every cafe owner worried that their stock standard breakfast basic is under threat of extinction.",No category available,AU_general,No author available
Parents’ plea for SA man facing death,http://www.adelaidenow.com.au/news/south-australia/parents-of-adelaide-man-damian-berg-arrested-in-the-philippines-on-drugs-charges-plea-for-help-to-save-their-son/story-fni6uo1m-1227916726642?from=public_rss,"Thu, 23 Jun 2016 01:21:00 GMT",THE parents of an Adelaide man who may face the death penalty after being arrested for allegedly selling drugs in the Philippines have issued a plea for help to save their son.,No category available,AU_general,No author available
Young volleyball star gone too soon,http://www.adelaidenow.com.au/news/south-australia/tributes-flow-for-young-volleyball-star-georgie-rowe/story-fni6uo1m-1227914472110?from=public_rss,"Mon, 20 Jun 2016 23:14:00 GMT",AN Adelaide family and the national volleyball community are in mourning after losing a young star in a fatal crash near Murray Bridge at the weekend.,No category available,AU_general,No author available
Twin baby dies in home birth tragedy,http://www.adelaidenow.com.au/news/south-australia/investigation-after-twin-baby-dies-in-home-birth-tragedy-at-fullarton/story-fni6uo1m-1227914614777?from=public_rss,"Mon, 20 Jun 2016 13:30:00 GMT","POLICE are investigating the death of a twin baby boy after a home birth ended tragically in Adelaide last week, The Advertiser can reveal.",No category available,AU_general,No author available
Holden to review Pies sponsorship,http://www.adelaidenow.com.au/news/collingwood-board-rebukes-boss-eddie-mcguire-for-radio-attack-on-caroline-wilson/story-fni6uok5-1227914619059?from=public_rss,"Mon, 20 Jun 2016 09:03:00 GMT",<b>UPDATE: </b>HOLDEN will review its sponsorship deal with Collingwood after president Eddie McGuire&#8217;s radio attack on female football writer Caroline Wilson.,No category available,AU_general,No author available
Poll shows Kate Ellis heading for shock defeat,http://www.adelaidenow.com.au/news/national/labor-frontbencher-kate-ellis-headed-for-defeat-to-liberals-in-adelaide-alp-poll-shows/story-fnho52jl-1227914498664?from=public_rss,"Tue, 21 Jun 2016 01:20:00 GMT","HIGH-PROFILE Labor frontbencher Kate Ellis is facing a shock defeat to the Liberals in her inner-city seat of Adelaide, internal ALP polling reveals.",No category available,AU_general,No author available
Xenophon near tears over attacks on family,http://www.adelaidenow.com.au/news/national/nick-xenophon-near-tears-over-campaign-attacks-on-family/story-fnho52jl-1227914486068?from=public_rss,"Tue, 21 Jun 2016 04:35:00 GMT","POPULAR SA senator Nick Xenophon has come close to tears on the ABC, as he described the impact his campaign is having on his family. <b>WATCH THE VIDEO</b>",No category available,AU_general,No author available
Aussie tourists injured in Vanuatu bus crash,http://www.adelaidenow.com.au/news/national/po-pacific-dawn-passengers-injured-in-vanuatu-tour-bus-crash/story-fni6ulvf-1227914617962?from=public_rss,"Tue, 21 Jun 2016 02:11:00 GMT","UPDATE: IT&#8217;S touch and go for some of the 10 Australians injured in a fatal bus crash in Vanuatu, medical authorities say.",No category available,AU_general,No author available
Council declares war on this tree,http://www.adelaidenow.com.au/messenger/south/city-of-onkaparinga-declares-war-on-chinese-elms/story-fni9llv7-1227914559122?from=public_rss,"Mon, 20 Jun 2016 11:36:00 GMT","IT&#8217;S so easy to grow that there are thousands across Adelaide, but this tree has become too popular for its own good &#8212; and the local council wants to give it the chop.",No category available,AU_general,No author available
‘Don’t get pregnant’ in SA police force,http://www.adelaidenow.com.au/news/south-australia/sa-police-makes-it-difficult-to-be-a-female-officer-union-survey-says/story-fni6uo1m-1227914456163?from=public_rss,"Mon, 20 Jun 2016 10:30:00 GMT","SA POLICE makes it &#8220;unnecessarily difficult&#8221; for women to remain in the force despite the organisation&#8217;s push to recruit more females, the SA Police Association says.",No category available,AU_general,No author available
Council backflips on home kitchen inspections,http://www.adelaidenow.com.au/news/south-australia/playford-council-backflips-on-kitchen-inspections-of-church-charity-bakers/story-fni6uo1m-1227914508442?from=public_rss,"Mon, 20 Jun 2016 11:24:00 GMT",CHURCHGOERS who bake cakes for charity are celebrating a victory for &#8220;common sense&#8217;&#8217; after a council backflip on plans to subject their kitchens to annual health inspections.,No category available,AU_general,No author available
‘It’s still a prison. I feel like an animal’,http://www.adelaidenow.com.au/news/inside-nauru-you-make-a-nice-prison-its-still-a-prison/story-e6frea6u-1227914537705?from=public_rss,"Mon, 20 Jun 2016 13:12:00 GMT",REACTION to the first TV crew&#8217;s story to emerge from Nauru tonight ranged from stunned to cynical. And it was a surprise to Australia&#8217;s Immigration minister.,No category available,AU_general,No author available
Water supplies switched off over RAAF toxin fears,http://www.adelaidenow.com.au/messenger/north-northeast/water-supply-to-businesses-parks-in-adelaides-north-switched-off-over-raaf-toxin-fears/story-fni9ll1r-1227914595771?from=public_rss,"Mon, 20 Jun 2016 12:20:00 GMT","TWO aquifers that supply water to market gardeners, businesses and parks in Adelaide&#8217;s north have been temporarily shut down in response to concerns over possible groundwater contamination in the area.",No category available,AU_general,No author available
Motorcyclist dead in horror truck smash,http://www.heraldsun.com.au/leader/outer-east/inbound-boronia-rd-lanes-closed-near-eastlink-after-serious-crash/story-fnrwkhlp-1228068504114?from=herald+sun_rss,"Wed, 11 Jan 2017 22:12:00 GMT",A WOMAN is dead after a truck failed to stop at a red light and ploughed into the back of her stationary motorcycle in Melbourne&#8217;s outer east.,No category available,AU_general,No author available
Two more agencies admit underquoting,http://www.heraldsun.com.au/real-estate/victoria/hocking-stuart-richmond-and-obrien-croydon-admit-to-underquoting-melbourne-homes/story-fo5gy5ps-1228068497612?from=herald+sun_rss,"Wed, 11 Jan 2017 21:00:00 GMT","TWO more Melbourne real estate agencies have been punished for underquoting, with one caught telling a client the practice was &#8220;just a little (marketing) ploy&#8221; to &#8220;get people through the door&#8221;.",No category available,AU_general,No author available
Hilarious TV vox pop gaffe,http://www.heraldsun.com.au/news/victoria/seven-news-reporter-michael-scanlan-in-hilarious-vox-pop-fail/story-fni0fit3-1228068492883?from=herald+sun_rss,"Wed, 11 Jan 2017 19:58:00 GMT",WHEN Seven News reporter Michael Scanlan asked his interview subject to spell her first and last name the result of hilarious. WATCH THE VIDEO,No category available,AU_general,No author available
Factories damaged in huge blaze,http://www.heraldsun.com.au/news/victoria/factories-in-graham-court-hoppers-crossing-damaged-in-big-fire/story-fni0fit3-1228068491598?from=herald+sun_rss,"Wed, 11 Jan 2017 19:10:00 GMT",MORE than 50 firefighters on the ground and in the air were needed to tackle a huge factory fire in Melbourne&#8217;s west overnight.,No category available,AU_general,No author available
How a dating site aids liver transplant success,http://www.heraldsun.com.au/news/victoria/how-dating-site-eharmony-can-help-boost-liver-transplant-success/story-fni0fit3-1228068474423?from=herald+sun_rss,"Wed, 11 Jan 2017 12:00:00 GMT",THE same process used by an international matchmaking site to pair lonely hearts may hold the key to improving the outcomes of liver transplants.,No category available,AU_general,No author available
Leonard French’s flair remembered,http://www.heraldsun.com.au/news/victoria/leonard-french-remembered-as-craftsman-behind-ngvs-kaleidoscopic-stained-glass-ceiling/story-fni0fit3-1228068474305?from=herald+sun_rss,"Wed, 11 Jan 2017 11:26:00 GMT","LEONARD French, the Australian artist who designed the stained glass ceiling for the National Gallery of Victoria&#8217;s Great Hall, has died aged 88.",No category available,AU_general,No author available
Sugar can cut life short,http://www.heraldsun.com.au/news/victoria/scientists-say-sugar-could-be-shortening-your-lifespan/story-fni0fit3-1228068474221?from=herald+sun_rss,"Wed, 11 Jan 2017 11:06:00 GMT","SUGAR has been found to shorten the lives of flies, prompting fears a diet rich in the sweet stuff could also be reducing our own longevity.",No category available,AU_general,No author available
Victoria’s child abuse hotline in crisis,http://www.heraldsun.com.au/news/victoria/victoria-child-abuse-hotline-crisis-thousands-of-calls-unanswered-others-endure-long-waits/story-fni0fit3-1228068475004?from=herald+sun_rss,"Wed, 11 Jan 2017 11:00:00 GMT","MORE than 20,000 calls to Victoria&#8217;s child abuse hotline went unanswered in an 18-month period, with some callers waiting more than two hours for an operator.",No category available,AU_general,No author available
Fury over killer drink-driver plea deal,http://www.heraldsun.com.au/news/law-order/fury-after-charges-against-killer-drunk-driver-in-victoria-downgraded/story-fni0fee2-1228068471846?from=herald+sun_rss,"Wed, 11 Jan 2017 10:20:00 GMT","CHARGES against a man who was more than double the legal alcohol limit when he killed his mate and injured two others have been downgraded, angering one of the survivors.",No category available,AU_general,No author available
Battlers suffer as school payment is axed,http://www.heraldsun.com.au/news/victoria/schoolkids-bonus-axed-struggling-parents-battle-to-find-cash-to-pay-for-uniforms-fees/story-fni0fit3-1228068466383?from=herald+sun_rss,"Wed, 11 Jan 2017 09:45:00 GMT","STRUGGLING parents say they don&#8217;t know how they will scrape together enough cash to pay for school uniforms, shoes and fees after being stripped of the Schoolkids Bonus.",No category available,AU_general,No author available
It’s all for the thrill of the chill,http://www.themercury.com.au/entertainment/events/dark-mofo-nude-solstice-swim-is-all-for-the-thrill-of-the-chill/story-fnpx40bi-1227914543884?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT","BY the time most people read this, hundreds of hardy souls will have taken the plunge for the fourth annual Dark Mofo Nude Solstice Swim.",No category available,AU_general,No author available
Brutal race attack on taxi driver,http://www.themercury.com.au/news/tasmania/brutal-race-attack-as-taxi-driver-punched-and-abused-by-four-men/story-fnj4f7k1-1227914597374?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",HOBART taxi driver Mikahil Ahmed is reeling from a brutal racial attack that left him hospitalised and badly damaged his cab.,No category available,AU_general,No author available
Police warn of knife law crackdown,http://www.themercury.com.au/news/tasmania/police-warn-of-crackdown-on-knives-in-public-places-under-new-laws/story-fnj4f7k1-1227914506789?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",WHEN reaching for the steak knife double check the T-bone is on its way because strict new laws banning knives in public places take effect this week.,No category available,AU_general,No author available
Major win for regions,http://www.themercury.com.au/news/politics/minister-vows-fairer-share-of-infrastructure-funding/story-fnpp9w4j-1227914632291?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",TASMANIA is set to benefit from a major overhaul of a fund that was supposed to &#173;provide vital projects and &#173;infrastructure to Australia&#8217;s &#173;regions &#8212; but instead pumped millions into mainland capital cities.,No category available,AU_general,No author available
Pensioner accused of decade-long fraud,http://www.themercury.com.au/news/scales-of-justice/disability-pensioner-accused-of-stealing-90000-in-decade-long-fraud/story-fnj8cre7-1227914602689?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT","A DISABILITY support pensioner accused of ripping off Centrelink for $90,000 by claiming her long-term boyfriend was a housemate has pleaded not guilty to fraud charges.",No category available,AU_general,No author available
Eden’s vision a perfect fit for Tassie,http://www.themercury.com.au/news/tasmania/edens-big-vision-a-perfect-fit-for-tassie-says-macquarie-point-chief/story-fnj4f7k1-1227914530736?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",THE founder of the bold eco-tourism attraction Eden Project has received a glowing endorsement from the Macquarie Point Corporation.,No category available,AU_general,No author available
Scallywags on tasty mission,http://www.themercury.com.au/news/tasmania/scallywags-on-tasty-mission/story-fnj4f7k1-1227914631998?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",A FUN children&#8217;s show featuring former <i>Junior MasterChef</i> star Jack Lark features a serious message about healthy eating.,No category available,AU_general,No author available
Up to five men at candidate’s house,http://www.themercury.com.au/news/tasmania/up-to-five-men-at-greens-candidate-scott-jordans-house/story-fnj4f7k1-1227914284807?from=public_rss,"Mon, 20 Jun 2016 06:40:00 GMT","UP to five men could have been involved in an incident at a Greens candidate&#8217;s Burnie home on Saturday night, police say.",No category available,AU_general,No author available
Shops hit with fake $50 notes,http://www.themercury.com.au/news/tasmania/southern-shops-hit-with-fake-50-notes/story-fnj4f7k1-1227914494410?from=public_rss,"Mon, 20 Jun 2016 06:56:00 GMT",A WAD of fake $50 notes has been splashed across southern Tasmania with police receiving 20 separate reports of the counterfeit currency.,No category available,AU_general,No author available
Do not risk more Labor power sharing,http://www.themercury.com.au/news/opinion/talking-point-do-not-risk-more-labor-power-sharing/story-fnj4f64i-1227914091280?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",<b>ERIC ABETZ: </b>It is all the way with the Liberal Coalition or disaster.,No category available,AU_general,No author available
Big picture show catches on,http://www.weeklytimesnow.com.au/country-living/silo-art-sparks-tourist-drive-across-australia/story-fnkeragy-1227911444682?from=public_rss,"Sun, 19 Jun 2016 14:00:00 GMT",A RUSH is on to convert the nation&#8217;s mothballed wheat silos into the world&#8217;s biggest art gallery.,No category available,AU_general,No author available
Fund for regions rebranded,http://www.weeklytimesnow.com.au/news/politics/metros-out-as-national-stronger-regions-fund-rebranded/story-fnkerdda-1227914453209?from=public_rss,"Mon, 20 Jun 2016 14:00:00 GMT",THE Coalition&#8217;s pet fund for regional development projects will be rebranded and criteria changed to exclude outer metropolitan suburbs.,No category available,AU_general,No author available
Farm production to be ‘worth $58.5b’,http://www.weeklytimesnow.com.au/agribusiness/gross-value-of-farm-production-forecast-to-reach-585-billion-next-year/story-fnkeqfxg-1227914465437?from=public_rss,"Mon, 20 Jun 2016 14:01:00 GMT",INCREASES in prices for some crops will help boost the value of Australian farm production to $58.5 billion next financial year.,No category available,AU_general,No author available
CFA volunteers rally in Vic over deal,http://www.weeklytimesnow.com.au/news/politics/cfa-volunteers-rally-in-victoria-over-deal/story-fnkerdda-1227913571015?from=public_rss,"Sun, 19 Jun 2016 22:37:00 GMT",SOME volunteer firefighters feel left in the dark after the Country Fire Authority&#8217;s board and chief executive were replaced within 24 hours.,No category available,AU_general,No author available
Farming out skills to land a job,http://www.weeklytimesnow.com.au/country-living/farming-out-skills-to-land-a-job-on-the-land/story-fnkeragy-1227913618435?from=public_rss,"Sun, 19 Jun 2016 23:07:00 GMT",HOW do you stop the young folk from heading to the big smoke? You build a school and teach them how to be jackaroos and jillaroos.,No category available,AU_general,No author available
Wellard stocks hit low,http://www.weeklytimesnow.com.au/agribusiness/wellard-shares-crash-as-another-downgrade-issued/story-fnkeqfxg-1227914436041?from=public_rss,"Mon, 20 Jun 2016 07:55:00 GMT",THE stocks of cattle exporter Wellard have crashed.,No category available,AU_general,No author available
Australia’s best bacon awarded,http://www.weeklytimesnow.com.au/agribusiness/australias-best-bacon-awarded-at-australian-bacon-week/story-fnkeqfxg-1227913686545?from=public_rss,"Mon, 20 Jun 2016 00:19:00 GMT",GOT a hankering for bacon? The best bacon from across Australia has been judged at Australian Bacon Week.,No category available,AU_general,No author available
Rain soaks parched areas,http://www.weeklytimesnow.com.au/news/nsw-records-widespread-rain-with-up-to-75mm-in-some-places/story-fnpw4h9d-1227914254770?from=public_rss,"Mon, 20 Jun 2016 05:14:00 GMT",WIDESPREAD rain fell across NSW at the weekend.,No category available,AU_general,No author available
New Minister appointed,http://www.weeklytimesnow.com.au/news/politics/new-consumer-affairs-gaming-and-regulation-minister-appointed/story-fnkerdda-1227914141054?from=public_rss,"Mon, 20 Jun 2016 04:25:00 GMT","KOROROIT MP Marlene Kairouz will become Victoria&#8217;s new minister for consumer affairs, gambling and liquor regulation.",No category available,AU_general,No author available
Mine hope for water store,http://www.weeklytimesnow.com.au/news/politics/mine-hope-for-water-store-at-lindenow-flats-in-east-gippsland/story-fnkerdda-1227911436980?from=public_rss,"Sun, 19 Jun 2016 14:00:00 GMT",A MINE could deliver water security to vegetable growers on the Lindenow Flats in East Gippsland.,No category available,AU_general,No author available
Culleton lodges appeal,http://www.theaustralian.com.au/national-affairs/rod-culleton-lodges-appeal-against-bankruptcy-ruling/story-fn59niix-1228068513090?from=public_rss,"Thu, 12 Jan 2017 00:14:00 GMT","The ex-senator launches a last-ditch bid against a bankruptcy ruling, hoping to regain the seat he officially lost yesterday.",No category available,AU_politics,No author available
Turnbull dinner cost $30k,http://www.theaustralian.com.au/national-affairs/turnbull-dinner-attended-by-sheik-shady-al-suleiman-cost-30000/story-fn59niix-1228068504107?from=public_rss,"Wed, 11 Jan 2017 22:22:00 GMT","An Iftar dinner party thrown by the PM and attended by a controversial Islamic preacher cost taxpayers more than $30,000.",No category available,AU_politics,No author available
Security focus for Abe visit,http://www.theaustralian.com.au/national-affairs/foreign-affairs/regional-security-focus-for-shinzo-abe-visit/story-fn59nm2j-1228068478688?from=public_rss,"Wed, 11 Jan 2017 13:00:00 GMT",Japanese PM Shinzo Abe will arrive in Sydney tomorrow for a weekend meeting with Malcolm Turnbull.,No category available,AU_politics,No author available
