Category,Link,Title,Description,Sub_category,Author,Published Date
general,https://www.smh.com.au/politics/federal/bowen-fired-up-for-election-clash-as-labor-delivers-gas-supply-boost-20250319-p5lknc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Bowen fired up for election clash as Labor delivers gas supply boost,Energy Minister Chris Bowen is lashing out at the former Coalition government’s “bin fire” gas policy as he clashes with Peter Dutton on energy.,general,"Mike Foley, Nick Toscano",2025-03-19T13:01:00+00:00
general,https://www.watoday.com.au/politics/federal/bowen-fired-up-for-election-clash-as-labor-delivers-gas-supply-boost-20250319-p5lknc.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Bowen fired up for election clash as Labor delivers gas supply boost,Energy Minister Chris Bowen is lashing out at the former Coalition government’s “bin fire” gas policy as he clashes with Peter Dutton on energy.,general,"Mike Foley, Nick Toscano",2025-03-19T13:01:00+00:00
politics,https://www.smh.com.au/politics/federal/bowen-fired-up-for-election-clash-as-labor-delivers-gas-supply-boost-20250319-p5lknc.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Bowen fired up for election clash as Labor delivers gas supply boost,Energy Minister Chris Bowen is lashing out at the former Coalition government’s “bin fire” gas policy as he clashes with Peter Dutton on energy.,politics,"Mike Foley, Nick Toscano",2025-03-19T13:01:00+00:00
general,https://www.theage.com.au/politics/federal/bowen-fired-up-for-election-clash-as-labor-delivers-gas-supply-boost-20250319-p5lknc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Bowen fired up for election clash as Labor delivers gas supply boost,Energy Minister Chris Bowen is lashing out at the former Coalition government’s “bin fire” gas policy as he clashes with Peter Dutton on energy.,general,"Mike Foley, Nick Toscano",2025-03-19T13:01:00+00:00
general,https://www.watoday.com.au/politics/federal/bowen-fired-up-for-election-clash-as-labor-delivers-gas-supply-boost-20250319-p5lknc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Bowen fired up for election clash as Labor delivers gas supply boost,Energy Minister Chris Bowen is lashing out at the former Coalition government’s “bin fire” gas policy as he clashes with Peter Dutton on energy.,general,"Mike Foley, Nick Toscano",2025-03-19T13:01:00+00:00
politics,https://www.theage.com.au/politics/federal/bowen-fired-up-for-election-clash-as-labor-delivers-gas-supply-boost-20250319-p5lknc.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Bowen fired up for election clash as Labor delivers gas supply boost,Energy Minister Chris Bowen is lashing out at the former Coalition government’s “bin fire” gas policy as he clashes with Peter Dutton on energy.,politics,"Mike Foley, Nick Toscano",2025-03-19T13:01:00+00:00
general,https://www.watoday.com.au/culture/books/writing-this-got-me-thinking-about-my-own-mortality-emma-donoghue-20250313-p5ljb5.html?ref=rss&utm_medium=rss&utm_source=rss_culture,Writing this got me thinking about my own mortality: Emma Donoghue,The author’s new novel is inspired by the famous photograph of a 19-the century train derailment in Paris.,general,JP O'Malley,2025-03-19T13:00:00+00:00
general,https://www.watoday.com.au/culture/books/writing-this-got-me-thinking-about-my-own-mortality-emma-donoghue-20250313-p5ljb5.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Writing this got me thinking about my own mortality: Emma Donoghue,The author’s new novel is inspired by the famous photograph of a 19-the century train derailment in Paris.,general,JP O'Malley,2025-03-19T13:00:00+00:00
entertainment,https://www.theage.com.au/culture/books/writing-this-got-me-thinking-about-my-own-mortality-emma-donoghue-20250313-p5ljb5.html?ref=rss&utm_medium=rss&utm_source=rss_culture,Writing this got me thinking about my own mortality: Emma Donoghue,The author’s new novel is inspired by the famous photograph of a 19-the century train derailment in Paris.,entertainment,JP O'Malley,2025-03-19T13:00:00+00:00
general,https://www.brisbanetimes.com.au/culture/books/writing-this-got-me-thinking-about-my-own-mortality-emma-donoghue-20250313-p5ljb5.html?ref=rss&utm_medium=rss&utm_source=rss_culture,Writing this got me thinking about my own mortality: Emma Donoghue,The author’s new novel is inspired by the famous photograph of a 19-the century train derailment in Paris.,general,JP O'Malley,2025-03-19T13:00:00+00:00
business,https://www.ibtimes.com.au/us-pharma-lobby-targets-australias-au18b-pbs-urges-trump-impose-punitive-tariffs-1857022,"US Pharma Lobby Targets Australia's AU$18B PBS, Urges Trump To Impose Punitive Tariffs","On March 11, a formal complaint was submitted to US Trade Representative Jamieson Greer, urging the Trump administration to take strong action against Australia's ""damaging pricing policies.""",business,,2025-03-19T12:23:45+00:00
business,https://www.ibtimes.com.au/hollywood-urges-trump-protect-film-tv-ai-1857037,"Hollywood Urges Trump To Protect Film, TV From AI","Hundreds of Hollywood stars including Ben Stiller, Cate Blanchett and Cynthia Erivo have urged Donald Trump's White House to protect film, TV and music copyrights against big tech and artificial intelligence.",business,,2025-03-19T12:23:34+00:00
business,https://www.ibtimes.com.au/nvidia-showcases-new-tech-ai-super-bowl-1857036,Nvidia Showcases New Tech At AI 'Super Bowl',"Nvidia chief Jensen Huang on Tuesday showcased cutting-edge chips for artificial intelligence and new applications for the technology, shrugging off talk of China's DeepSeek disrupting the market and dangers from US President Donald Trump's trade wars.",business,,2025-03-19T12:23:30+00:00
business,https://www.ibtimes.com.au/us-music-industry-posts-100-million-paid-streaming-users-1857035,US Music Industry Posts 100 Million Paid Streaming Users,"The US music industry passed 100 million paid streaming subscriptions for the first time in 2024, according to the latest report from the Recording Industry Association of America released Tuesday.",business,,2025-03-19T12:23:26+00:00
business,https://www.ibtimes.com.au/trump-purges-democrats-us-federal-trade-commission-1857033,Trump Purges Democrats From US Federal Trade Commission,"The only two Democrats on the US Federal Trade Commission have been fired by President Donald Trump, the White House said, opening the door for the Republican to appoint loyalists at the independent regulatory agency.",business,,2025-03-19T12:23:23+00:00
business,https://www.ibtimes.com.au/us-pastry-chef-attempts-crack-egg-free-menu-1857030,"In US, A Pastry Chef Attempts To Crack An Egg-free Menu","Since avian flu turned eggs into a luxury item, pastry chef Annie Clemmons has spent countless hours in her Maryland workshop, racking her brains about how to replace them in her recipes.",business,,2025-03-19T12:23:21+00:00
business,https://www.ibtimes.com.au/tech-firms-fight-stem-deepfake-deluge-1857029,Tech Firms Fight To Stem Deepfake Deluge,"Tech firms are fighting the scourge of deepfakes, those deceptively realistic voices or videos used by scammers that are more available than ever thanks to artificial intelligence.",business,,2025-03-19T12:23:19+00:00
business,https://www.ibtimes.com.au/chinas-tencent-sees-profits-surge-ai-drive-accelerates-1857026,China's Tencent Sees Profits Surge As AI Drive Accelerates,Chinese internet and gaming giant Tencent said on Wednesday that profits in the fourth quarter of 2024 surged 90 percent as the firm accelerates a push into artificial intelligence (AI).,business,,2025-03-19T12:23:17+00:00
sports,https://www.theguardian.com/football/2025/mar/19/mak-whitham-nwsl-debut-at-14-moving-the-goalposts-football-newsletter,Mak Whitham makes NWSL debut at 14 – time will tell if it is the right move,"Forward became youngest player to appear in NWSL’s regular season against Seattle – and Gotham say she is readyOver the weekend the National Women’s Soccer League started its 13th regular season, marking the 19th year of top-flight women’s soccer in the US (together with the WPS and WUSA that came before it). As is typical for an ever-expanding, aspirational league that still sees itself as a “scrappy startup”, the new year set off with myriad changes, milestones, and hopes for another historic year. There are certainly signs they’ll get that.Amid the early indications of the same...",sports,Megan Swanick,2025-03-19T11:59:09+00:00
business,https://www.ibtimes.com.au/russia-threatens-entire-eu-blocs-chief-tells-afp-1857023,"Russia Threatens The Entire EU, Bloc's Chief Tells AFP","Russia represents a threat for all European nations -- regardless of how far they lie from Moscow, EU chief Antonio Costa told AFP ahead of a leaders' summit on Thursday.",business,,2025-03-19T11:45:12+00:00
general,https://www.abc.net.au/news/2025-03-19/pbs-medication-to-cost-no-more-than-25-labor-pitch/105072988,PBS medication to cost no more than $25 under Labor re-election pitch,"As US big pharma comes for Australia's PBS, Labor is promising even cheaper medicines.",general,Stephanie Dalzell,2025-03-19T11:31:32+00:00
politics,https://www.theguardian.com/australia-news/2025/mar/19/pbs-listed-medicine-to-cost-no-more-than-25-a-script-if-labor-re-elected,PBS-listed medicine to cost no more than $25 a script if Labor re-elected,"Election pledge part of Albanese’s focus on cheaper medicines as a cost-of-living measure that will also help reduce inflationGina: the billionaire who wants to make Australia greatSee all our Australian election 2025 coverageGet our breaking news email, free app or daily news podcastA re-elected Labor government would reduce the price of PBS-listed medicines to no more than $25 a script, in a major new election pledge to be included in next week’s budget that builds on Anthony Albanese’s focus on cheaper medicines as a cost-of-living measure.With the formal election campaign to commence...",politics,Josh Butler,2025-03-19T11:30:54+00:00
general,https://www.brisbanetimes.com.au/politics/federal/dutton-under-pressure-to-match-pm-s-pledge-to-drop-medicine-prices-by-6-60-20250319-p5lksc.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Dutton under pressure to match PM’s pledge to drop medicine prices by $6.60,Labor will bring the patient co-payment for subsidised medicines down to $25 from $31.60 as it wages an election battle over healthcare.,general,Natassia Chrysanthos,2025-03-19T11:30:00+00:00
general,https://www.brisbanetimes.com.au/politics/federal/dutton-under-pressure-to-match-pm-s-pledge-to-drop-medicine-prices-by-6-60-20250319-p5lksc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Dutton under pressure to match PM’s pledge to drop medicine prices by $6.60,Labor will bring the patient co-payment for subsidised medicines down to $25 from $31.60 as it wages an election battle over healthcare.,general,Natassia Chrysanthos,2025-03-19T11:30:00+00:00
general,https://www.theage.com.au/politics/federal/dutton-under-pressure-to-match-pm-s-pledge-to-drop-medicine-prices-by-6-60-20250319-p5lksc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Dutton under pressure to match PM’s pledge to drop medicine prices by $6.60,Labor will bring the patient co-payment for subsidised medicines down to $25 from $31.60 as it wages an election battle over healthcare.,general,Natassia Chrysanthos,2025-03-19T11:30:00+00:00
general,https://www.smh.com.au/politics/federal/dutton-under-pressure-to-match-pm-s-pledge-to-drop-medicine-prices-by-6-60-20250319-p5lksc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Dutton under pressure to match PM’s pledge to drop medicine prices by $6.60,Labor will bring the patient co-payment for subsidised medicines down to $25 from $31.60 as it wages an election battle over healthcare.,general,Natassia Chrysanthos,2025-03-19T11:30:00+00:00
general,https://www.watoday.com.au/politics/federal/dutton-under-pressure-to-match-pm-s-pledge-to-drop-medicine-prices-by-6-60-20250319-p5lksc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Dutton under pressure to match PM’s pledge to drop medicine prices by $6.60,Labor will bring the patient co-payment for subsidised medicines down to $25 from $31.60 as it wages an election battle over healthcare.,general,Natassia Chrysanthos,2025-03-19T11:30:00+00:00
general,https://www.theage.com.au/politics/federal/dutton-under-pressure-to-match-pm-s-pledge-to-drop-medicine-prices-by-6-60-20250319-p5lksc.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Dutton under pressure to match PM’s pledge to drop medicine prices by $6.60,Labor will bring the patient co-payment for subsidised medicines down to $25 from $31.60 as it wages an election battle over healthcare.,general,Natassia Chrysanthos,2025-03-19T11:30:00+00:00
business,https://www.ibtimes.com.au/canada-pm-carney-announces-deal-australia-boost-arctic-radar-1857020,Canada PM Carney Announces Deal With Australia To Boost Arctic Radar,"Prime Minister Mark Carney announced Tuesday a Can$6 billion (US$4.2 billion) deal with Australia to develop an Arctic radar system, warning that Canada must take more responsibility for its defence as US priorities shift.",business,,2025-03-19T11:23:46+00:00
sports,https://www.smh.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,sports,,2025-03-19T11:18:00+00:00
general,https://www.watoday.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
general,https://www.theage.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
general,https://www.brisbanetimes.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
general,https://www.watoday.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
general,https://www.smh.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
sports,https://www.theage.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,sports,,2025-03-19T11:18:00+00:00
general,https://www.brisbanetimes.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
business,https://www.ibtimes.com.au/online-shopping-boom-australians-spent-au69b-2024-millennials-lead-surge-1857016,"Online Shopping Boom: Australians Spent AU$69B In 2024, Millennials Lead The Surge","Millennials were the biggest spenders at $25 billion, while Gen X, Gen Z, and Baby Boomers spent AU$19 billion, AU$12 billion, and AU$10 billion, respectively.",business,,2025-03-19T11:17:43+00:00
politics,https://www.smh.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",politics,,2025-03-19T11:10:52+00:00
politics,https://www.smh.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Cartoons of the week,The best Herald artworks of the week from across the board.,politics,,2025-03-19T11:10:39+00:00
general,https://www.theage.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Cartoons of the week,The best Herald artworks of the week from across the board.,general,,2025-03-19T11:10:39+00:00
general,https://www.smh.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Cartoons of the week,The best Herald artworks of the week from across the board.,general,,2025-03-19T11:10:39+00:00
general,https://www.watoday.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Cartoons of the week,The best Herald artworks of the week from across the board.,general,,2025-03-19T11:10:39+00:00
entertainment,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNNlFDMEdveHZjYk44Y0JGeEdRaFhaXzc0eDRnYTM3RThRWVFScGhZTTNiVm5BTXJ2ZHNtM0RyTHl5dkhFVEdzeHctcFBia1REb2x5VjRZWEp4alltYmYtaVJibDdmbzZycnNwblFqR2ZqV2hIZVJOZTZ0NVM5SE1Vek5uX0xJTGpYSjhROVJRWmo4ay1TcW5UdFlBeFAzZmlmYTh1WVlMYVVUZG1sWmk3aEtOeGMteDdPcGdTcjNMQXE1YXhwSUs3QXJ2THQyNDRISTdSaDBtMWxKTlB10gF3QVVfeXFMTTlqdWRDclRHN2M5TGZQNFU3QmgzTndUVlBuelJWZlIzQ3FSSzN0ZDNqX3kzUHRpTy04UUg0Mm91bnJKeXRJczQ1MXZmN2Jzak5HS3Z0ajFvdko5eXV5QV9UOUN4bWxJTjhxREprSkV6RnQxTnRpalU?oc=5,MAFS' Teejay blindsides wife Beth with relationship bombshell – but what he says once she leaves the room is worse - Nine Shows,MAFS' Teejay blindsides wife Beth with relationship bombshell – but what he says once she leaves the room is worse&nbsp;&nbsp;Nine ShowsLeaked MAFS photos reveal major twist for Teejay and Beth after homestays&nbsp;&nbsp;Yahoo Lifestyle AustraliaMarried At First Sight's Beth Kelly rips into Teejay Halkias and accuses him of leading her on to get to the e&nbsp;&nbsp;Daily MailUh-Oh: Another MAFS Groom Has Switched Up On His Bride & Fans Are Not Surprised&nbsp;&nbsp;Pedestrian.TVBeth’s family raise concerns about Teejay’s feelings for her&nbsp;&nbsp;Nine Shows,entertainment,,2025-03-19T11:09:04+00:00
general,https://www.brisbanetimes.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_national,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.watoday.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_national,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.smh.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_national,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.theage.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_national,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.brisbanetimes.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.theage.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.watoday.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.smh.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
general,https://www.watoday.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
sports,https://www.smh.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,sports,,2025-03-19T11:08:00+00:00
sports,https://www.theage.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,sports,,2025-03-19T11:08:00+00:00
general,https://www.theage.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
general,https://www.watoday.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
general,https://www.brisbanetimes.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
